Year,Country,Prefecture,Region,Visit_Share_Percent
2024,Japan,Tokyo,Kanto,51.4967
2024,Japan,Osaka,Kansai,39.5736
2024,Japan,Chiba,Kanto,36.5677
2024,Japan,Kyoto,Kansai,29.4811
2024,Japan,Fukuoka,Kyushu Okinawa,11.15
2024,Japan,Kanagawa,Kanto,9.1115
2024,Japan,Nara,Kansai,8.8043
2024,Japan,Yamanashi,Chubu,8.0363
2024,Japan,Aichi,Chubu,6.7551
2024,Japan,Hokkaido,Hokkaido,6.6347
2024,Japan,Hyogo,Kansai,5.2868
2024,Japan,Okinawa,Kyushu Okinawa,4.487
2024,Japan,Oita,Kyushu Okinawa,3.8386
2024,Japan,Hiroshima,Chugoku,3.817
2024,Japan,Shizuoka,Chubu,3.5492
2024,Japan,Gifu,Chubu,3.1447
2024,Japan,Nagano,Chubu,2.9145
2024,Japan,Ishikawa,Chubu,2.1833
2024,Japan,Kumamoto,Kyushu Okinawa,2.113
2024,Japan,Tochigi,Kanto,1.2427
2024,Japan,Wakayama,Kansai,1.2232
2024,Japan,Saitama,Kanto,1.2204
2024,Japan,Miyagi,Tohoku,1.2133
2024,Japan,Nagasaki,Kyushu Okinawa,1.0142
2024,Japan,Okayama,Chugoku,1.0049
2024,Japan,Toyama,Chubu,0.9814
2024,Japan,Kagawa,Shikoku,0.938
2024,Japan,Mie,Kansai,0.7335
2024,Japan,Aomori,Tohoku,0.6619
2024,Japan,Saga,Kyushu Okinawa,0.6343
2024,Japan,Kagoshima,Kyushu Okinawa,0.6276
2024,Japan,Niigata,Chubu,0.5867
2024,Japan,Ibaraki,Kanto,0.5714
2024,Japan,Yamaguchi,Chugoku,0.5678
2024,Japan,Gunma,Kanto,0.5421
2024,Japan,Yamagata,Tohoku,0.5314
2024,Japan,Shiga,Kansai,0.505
2024,Japan,Iwate,Tohoku,0.4409
2024,Japan,Fukushima,Tohoku,0.4222
2024,Japan,Ehime,Shikoku,0.397
2024,Japan,Miyazaki,Kyushu Okinawa,0.3529
2024,Japan,Akita,Tohoku,0.3161
2024,Japan,Tottori,Chugoku,0.2682
2024,Japan,Tokushima,Shikoku,0.2545
2024,Japan,Kochi,Shikoku,0.2232
2024,Japan,Fukui,Chubu,0.1821
2024,Japan,Shimane,Chugoku,0.1541
