Year,YoY_Growth_Percent,Term,Total_Visitors
1964,,Jan. - Dec.,"352,832"
1965,3.916028025,Jan. - Dec.,"366,649"
1966,18.07941655,Jan. - Dec.,"432,937"
1967,10.12479876,Jan. - Dec.,"476,771"
1968,8.858131052,Jan. - Dec.,"519,004"
1969,17.29081086,Jan. - Dec.,"608,744"
1970,40.3576873,Jan. - Dec.,"854,419"
1971,-22.67084416,Jan. - Dec.,"660,715"
1972,9.539514011,Jan. - Dec.,"723,744"
1973,8.421071539,Jan. - Dec.,"784,691"
1974,-2.605484197,Jan. - Dec.,"764,246"
1975,6.205593487,Jan. - Dec.,"811,672"
1976,12.70217526,Jan. - Dec.,"914,772"
1977,12.39303346,Jan. - Dec.,"1,028,140"
1978,1.044118505,Jan. - Dec.,"1,038,875"
1979,7.097196487,Jan. - Dec.,"1,112,606"
1980,18.3376685,Jan. - Dec.,"1,316,632"
1981,20.23427959,Jan. - Dec.,"1,583,043"
1982,13.27323389,Jan. - Dec.,"1,793,164"
1983,9.775848723,Jan. - Dec.,"1,968,461"
1984,7.207915219,Jan. - Dec.,"2,110,346"
1985,10.26850573,Jan. - Dec.,"2,327,047"
1986,-11.41021217,Jan. - Dec.,"2,061,526"
1987,4.527616921,Jan. - Dec.,"2,154,864"
1988,9.306759034,Jan. - Dec.,"2,355,412"
1989,20.36382595,Jan. - Dec.,"2,835,064"
1990,14.1371059,Jan. - Dec.,"3,235,860"
1991,9.171935745,Jan. - Dec.,"3,532,651"
1992,1.383918196,Jan. - Dec.,"3,581,540"
1993,-4.777079134,Jan. - Dec.,"3,410,447"
1994,1.68916274,Jan. - Dec.,"3,468,055"
1995,-3.540341777,Jan. - Dec.,"3,345,274"
1996,14.7025027,Jan. - Dec.,"3,837,113"
1997,9.931815925,Jan. - Dec.,"4,218,208"
1998,-2.658735653,Jan. - Dec.,"4,106,057"
1999,8.08089123,Jan. - Dec.,"4,437,863"
2000,7.194521327,Jan. - Dec.,"4,757,146"
2001,0.302891692,Jan. - Dec.,"4,771,555"
2002,9.795716491,Jan. - Dec.,"5,238,963"
2003,-0.519912051,Jan. - Dec.,"5,211,725"
2004,17.77108347,Jan. - Dec.,"6,137,905"
2005,9.612742459,Jan. - Dec.,"6,727,926"
2006,9.009477809,Jan. - Dec.,"7,334,077"
2007,13.8107631,Jan. - Dec.,"8,346,969"
2008,0.046316214,Jan. - Dec.,"8,350,835"
2009,-18.69486105,Jan. - Dec.,"6,789,658"
2010,26.82781666,Jan. - Dec.,"8,611,175"
2011,-27.78277064,Jan. - Dec.,"6,218,752"
2012,34.40164522,Jan. - Dec.,"8,358,105"
2013,23.9982508,Jan. - Dec.,"10,363,904"
2014,29.42484801,Jan. - Dec.,"13,413,467"
2015,47.14621507,Jan. - Dec.,"19,737,409"
2016,21.79764831,Jan. - Dec.,"24,039,700"
2017,19.34871483,Jan. - Dec.,"28,691,073"
2018,8.716240762,Jan. - Dec.,"31,191,856"
2019,2.212734632,Jan. - Dec.,"31,882,049"
2020,-87.09045331,Jan. - Dec.,"4,115,828"
2021,-94.02642676,Jan. - Dec.,"245,862"
2022,"1,458.64",Jan. - Dec.,"3,832,110"
2023,554.1135301,Jan. - Dec.,"25,066,350"
2024,47.09021457,Jan. - Dec.,"36,870,148"
2025,,Jan. - Jul.,"24,955,693"
